entry_name	accession	gene_symbol	msa_file
FOXE3_HUMAN	Q13461	FOXE3	FOXE3_HUMAN_b03.a2m
FOXF1_HUMAN	Q12946	FOXF1	FOXF1_HUMAN_b07.a2m
FOXG1_HUMAN	P55316	FOXG1	FOXG1_HUMAN_b10.a2m
FOXH1_HUMAN	O75593	FOXH1	FOXH1_HUMAN_b05.a2m
FOXI1_HUMAN	Q12951	FOXI1	FOXI1_HUMAN_b03.a2m
FOXL2_HUMAN	P58012	FOXL2	FOXL2_HUMAN_b05.a2m
FOXN1_HUMAN	O15353	FOXN1	FOXN1_HUMAN_b03.a2m
FOXP1_HUMAN	Q9H334	FOXP1	FOXP1_HUMAN_b03.a2m
FOXP2_HUMAN	O15409	FOXP2	FOXP2_HUMAN_b01.a2m
FOXP3_HUMAN	Q9BZS1	FOXP3	FOXP3_HUMAN_b03.a2m
FPPS_HUMAN	P14324	FDPS	FPPS_HUMAN_b03.a2m
FRAS1_HUMAN	Q86XX4	FRAS1	FRAS1_HUMAN_b07.a2m
FRDA_HUMAN	Q16595	FXN	FRDA_HUMAN_b01.a2m
FREM1_HUMAN	Q5H8C1	FREM1	FREM1_HUMAN_b07.a2m
FREM2_HUMAN	Q5SZK8	FREM2	FREM2_HUMAN_b05.a2m
FRIH_HUMAN	P02794	FTH1	FRIH_HUMAN_b03.a2m
FRIL_HUMAN	P02792	FTL	FRIL_HUMAN_b03.a2m
FRITZ_HUMAN	O95876	WDPCP	FRITZ_HUMAN_b01.a2m
FSCN1_HUMAN	Q16658	FSCN1	FSCN1_HUMAN_b01.a2m
FSCN2_HUMAN	O14926	FSCN2	FSCN2_HUMAN_b01.a2m
FSHB_HUMAN	P01225	FSHB	FSHB_HUMAN_b03.a2m
FSHR_HUMAN	P23945	FSHR	FSHR_HUMAN_b03.a2m
FTCD_HUMAN	O95954	FTCD	FTCD_HUMAN_b01.a2m
FTM_HUMAN	Q68CZ1	RPGRIP1L	FTM_HUMAN_b03.a2m
FTO_HUMAN	Q9C0B1	FTO	FTO_HUMAN_b01.a2m
FUCO_HUMAN	P04066	FUCA1	FUCO_HUMAN_b03.a2m
FUCT1_HUMAN	Q96A29	SLC35C1	FUCT1_HUMAN_b03.a2m
FUMH_HUMAN	P07954	FH	FUMH_HUMAN_b03.a2m
FUT1_HUMAN	P19526	FUT1	FUT1_HUMAN_b03.a2m
FUT8_HUMAN	Q9BYC5	FUT8	FUT8_HUMAN_b01.a2m
FXRD1_HUMAN	Q96CU9	FOXRED1	FXRD1_HUMAN_b07.a2m
FYCO1_HUMAN	Q9BQS8	FYCO1	FYCO1_HUMAN_b07.a2m
FZD2_HUMAN	Q14332	FZD2	FZD2_HUMAN_b03.a2m
FZD4_HUMAN	Q9ULV1	FZD4	FZD4_HUMAN_b03.a2m
FZR1_HUMAN	Q9UM11	FZR1	FZR1_HUMAN_b07.a2m
G3ST2_HUMAN	Q9H3Q3	GAL3ST2	G3ST2_HUMAN_b01.a2m
G6PC3_HUMAN	Q9BUM1	G6PC3	G6PC3_HUMAN_b03.a2m
G6PC_HUMAN	NA	NA	G6PC_HUMAN_b03.a2m
G6PD_HUMAN	P11413	G6PD	G6PD_HUMAN_b01.a2m
G6PE_HUMAN	O95479	H6PD	G6PE_HUMAN_b03.a2m
G6PI_HUMAN	P06744	GPI	G6PI_HUMAN_b01.a2m
G6PT1_HUMAN	O43826	SLC37A4	G6PT1_HUMAN_b07.a2m
GAB1_HUMAN	Q13480	GAB1	GAB1_HUMAN_b03.a2m
GABR2_HUMAN	O75899	GABBR2	GABR2_HUMAN_b03.a2m
GABT_HUMAN	P80404	ABAT	GABT_HUMAN_b07.a2m
GALA_HUMAN	P22466	GAL	GALA_HUMAN_b03.a2m
GALC_HUMAN	P54803	GALC	GALC_HUMAN_b03.a2m
GALE_HUMAN	Q14376	GALE	GALE_HUMAN_b07.a2m
GALK1_HUMAN	P51570	GALK1	GALK1_HUMAN_b03.a2m
GALM_HUMAN	Q96C23	GALM	GALM_HUMAN_b03.a2m
GALNS_HUMAN	P34059	GALNS	GALNS_HUMAN_b03.a2m
GALT2_HUMAN	Q10471	GALNT2	GALT2_HUMAN_b03.a2m
GALT3_HUMAN	Q14435	GALNT3	GALT3_HUMAN_b03.a2m
GALT_HUMAN	P07902	GALT	GALT_HUMAN_b01.a2m
GAMT_HUMAN	Q14353	GAMT	GAMT_HUMAN_b03.a2m
GANAB_HUMAN	Q14697	GANAB	GANAB_HUMAN_b03.a2m
GAN_HUMAN	Q9H2C0	GAN	GAN_HUMAN_b03.a2m
GARS_HUMAN	P41250	GARS1	GARS_HUMAN_b10.a2m
GATA1_HUMAN	P15976	GATA1	GATA1_HUMAN_b01.a2m
GATA2_HUMAN	P23769	GATA2	GATA2_HUMAN_b05.a2m
GATA3_HUMAN	P23771	GATA3	GATA3_HUMAN_b07.a2m
GATA4_HUMAN	P43694	GATA4	GATA4_HUMAN_b01.a2m
GATA5_HUMAN	Q9BWX5	GATA5	GATA5_HUMAN_b01.a2m
GATA6_HUMAN	Q92908	GATA6	GATA6_HUMAN_b01.a2m
GATA_HUMAN	Q9H0R6	QRSL1	GATA_HUMAN_b03.a2m
GATB_HUMAN	O75879	GATB	GATB_HUMAN_b01.a2m
GATC_HUMAN	O43716	GATC	GATC_HUMAN_b03.a2m
GATD1_HUMAN	Q8WUU5	GATAD1	GATD1_HUMAN_b03.a2m
GATM_HUMAN	P50440	GATM	GATM_HUMAN_b03.a2m
GBA2_HUMAN	Q9HCG7	GBA2	GBA2_HUMAN_b01.a2m
GBB4_HUMAN	Q9HAV0	GNB4	GBB4_HUMAN_b07.a2m
GBRA1_HUMAN	P14867	GABRA1	GBRA1_HUMAN_b01.a2m
GBRA2_HUMAN	P47869	GABRA2	GBRA2_HUMAN_b03.a2m
GBRA5_HUMAN	P31644	GABRA5	GBRA5_HUMAN_b03.a2m
GBRB1_HUMAN	P18505	GABRB1	GBRB1_HUMAN_b05.a2m
GBRB2_HUMAN	P47870	GABRB2	GBRB2_HUMAN_b03.a2m
GBRB3_HUMAN	P28472	GABRB3	GBRB3_HUMAN_b03.a2m
GBRG2_HUMAN	P18507	GABRG2	GBRG2_HUMAN_b03.a2m
GCDH_HUMAN	Q92947	GCDH	GCDH_HUMAN_b07.a2m
GCH1_HUMAN	P30793	GCH1	GCH1_HUMAN_b07.a2m
GCKR_HUMAN	Q14397	GCKR	GCKR_HUMAN_b01.a2m
GCM2_HUMAN	O75603	GCM2	GCM2_HUMAN_b01.a2m
GCP4_HUMAN	Q9UGJ1	TUBGCP4	GCP4_HUMAN_b03.a2m
GCSAM_HUMAN	Q8N6F7	GCSAM	GCSAM_HUMAN_b01.a2m
GCSH_HUMAN	P23434	GCSH	GCSH_HUMAN_b03.a2m
GCSP_HUMAN	P23378	GLDC	GCSP_HUMAN_b03.a2m
GCST_HUMAN	P48728	AMT	GCST_HUMAN_b03.a2m
GCYA1_HUMAN	Q02108	GUCY1A1	GCYA1_HUMAN_b01.a2m
GDAP1_HUMAN	Q8TB36	GDAP1	GDAP1_HUMAN_b01.a2m
GDC_HUMAN	P16260	SLC25A16	GDC_HUMAN_b03.a2m
GDE_HUMAN	P35573	AGL	GDE_HUMAN_b01.a2m
GDF1_HUMAN	P27539	GDF1	GDF1_HUMAN_b03.a2m
GDF2_HUMAN	Q9UK05	GDF2	GDF2_HUMAN_b03.a2m
GDF3_HUMAN	Q9NR23	GDF3	GDF3_HUMAN_b03.a2m
GDF5_HUMAN	P43026	GDF5	GDF5_HUMAN_b01.a2m
GDF6_HUMAN	Q6KF10	GDF6	GDF6_HUMAN_b03.a2m
GDF8_HUMAN	O14793	MSTN	GDF8_HUMAN_b03.a2m
GDIA_HUMAN	P31150	GDI1	GDIA_HUMAN_b03.a2m
GDIR1_HUMAN	P52565	ARHGDIA	GDIR1_HUMAN_b01.a2m
GELS_HUMAN	P06396	GSN	GELS_HUMAN_b03.a2m
GEMI_HUMAN	O75496	GMNN	GEMI_HUMAN_b01.a2m
GEPH_HUMAN	Q9NQX3	GPHN	GEPH_HUMAN_b03.a2m
GET3_HUMAN	O43681	GET3	GET3_HUMAN_b07.a2m
GFAP_HUMAN	P14136	GFAP	GFAP_HUMAN_b07.a2m
GFI1B_HUMAN	Q5VTD9	GFI1B	GFI1B_HUMAN_b07.a2m
GFI1_HUMAN	Q99684	GFI1	GFI1_HUMAN_b07.a2m
GFPT1_HUMAN	Q06210	GFPT1	GFPT1_HUMAN_b03.a2m
GHC1_HUMAN	Q9H936	SLC25A22	GHC1_HUMAN_b03.a2m
GHRHR_HUMAN	Q02643	GHRHR	GHRHR_HUMAN_b03.a2m
GHRL_HUMAN	Q9UBU3	GHRL	GHRL_HUMAN_b03.a2m
GHR_HUMAN	P10912	GHR	GHR_HUMAN_b01.a2m
GHSR_HUMAN	Q92847	GHSR	GHSR_HUMAN_b07.a2m
GIPC3_HUMAN	Q8TF64	GIPC3	GIPC3_HUMAN_b03.a2m
GLCM_HUMAN	NA	NA	GLCM_HUMAN_b07.a2m
GLCNE_HUMAN	Q9Y223	GNE	GLCNE_HUMAN_b01.a2m
GLCTK_HUMAN	Q8IVS8	GLYCTK	GLCTK_HUMAN_b03.a2m
GLE1_HUMAN	Q53GS7	GLE1	GLE1_HUMAN_b03.a2m
GLGB_HUMAN	Q04446	GBE1	GLGB_HUMAN_b03.a2m
GLI3_HUMAN	P10071	GLI3	GLI3_HUMAN_b01.a2m
GLMN_HUMAN	Q92990	GLMN	GLMN_HUMAN_b01.a2m
GLNA_HUMAN	P15104	GLUL	GLNA_HUMAN_b03.a2m
GLPA_HUMAN	P02724	GYPA	GLPA_HUMAN_b03.a2m
GLPK_HUMAN	P32189	GK	GLPK_HUMAN_b03.a2m
GLRA1_HUMAN	P23415	GLRA1	GLRA1_HUMAN_b03.a2m
GLRB_HUMAN	P48167	GLRB	GLRB_HUMAN_b03.a2m
GLRX5_HUMAN	Q86SX6	GLRX5	GLRX5_HUMAN_b03.a2m
GLSK_HUMAN	O94925	GLS	GLSK_HUMAN_b03.a2m
GLT12_HUMAN	Q8IXK2	GALNT12	GLT12_HUMAN_b03.a2m
GLYG_HUMAN	P46976	GYG1	GLYG_HUMAN_b01.a2m
GMPPA_HUMAN	Q96IJ6	GMPPA	GMPPA_HUMAN_b03.a2m
GMPPB_HUMAN	Q9Y5P6	GMPPB	GMPPB_HUMAN_b03.a2m
GNA11_HUMAN	P29992	GNA11	GNA11_HUMAN_b03.a2m
GNA14_HUMAN	O95837	GNA14	GNA14_HUMAN_b03.a2m
GNAI1_HUMAN	P63096	GNAI1	GNAI1_HUMAN_b01.a2m
GNAI2_HUMAN	P04899	GNAI2	GNAI2_HUMAN_b03.a2m
GNAI3_HUMAN	P08754	GNAI3	GNAI3_HUMAN_b03.a2m
GNAL_HUMAN	P38405	GNAL	GNAL_HUMAN_b03.a2m
GNAO_HUMAN	P09471	GNAO1	GNAO_HUMAN_b01.a2m
GNAQ_HUMAN	P50148	GNAQ	GNAQ_HUMAN_b03.a2m
GNAS1_HUMAN	Q5JWF2	GNAS	GNAS1_HUMAN_b01.a2m
GNAS2_HUMAN	P63092	GNAS	GNAS2_HUMAN_b07.a2m
GNAS3_HUMAN	O95467	GNAS	GNAS3_HUMAN_b01.a2m
GNAT1_HUMAN	P11488	GNAT1	GNAT1_HUMAN_b03.a2m
GNAT2_HUMAN	P19087	GNAT2	GNAT2_HUMAN_b01.a2m
GNB5_HUMAN	O14775	GNB5	GNB5_HUMAN_b07.a2m
GNMT_HUMAN	Q14749	GNMT	GNMT_HUMAN_b03.a2m
GNPAT_HUMAN	O15228	GNPAT	GNPAT_HUMAN_b01.a2m
GNPTA_HUMAN	Q3T906	GNPTAB	GNPTA_HUMAN_b01.a2m
GNPTG_HUMAN	Q9UJJ9	GNPTG	GNPTG_HUMAN_b03.a2m
GNRHR_HUMAN	P30968	GNRHR	GNRHR_HUMAN_b07.a2m
GNS_HUMAN	P15586	GNS	GNS_HUMAN_b03.a2m
GNT2A_HUMAN	Q8N0V5	GCNT2	GNT2A_HUMAN_b03.a2m
GON1_HUMAN	P01148	GNRH1	GON1_HUMAN_b03.a2m
GORAB_HUMAN	Q5T7V8	GORAB	GORAB_HUMAN_b03.a2m
GOSR2_HUMAN	O14653	GOSR2	GOSR2_HUMAN_b03.a2m
GP143_HUMAN	P51810	GPR143	GP143_HUMAN_b03.a2m
GP153_HUMAN	Q6NV75	GPR153	GP153_HUMAN_b01.a2m
GP1BA_HUMAN	P07359	GP1BA	GP1BA_HUMAN_b03.a2m
GP1BB_HUMAN	P13224	GP1BB	GP1BB_HUMAN_b03.a2m
GPAA1_HUMAN	O43292	GPAA1	GPAA1_HUMAN_b01.a2m
GPC3_HUMAN	P51654	GPC3	GPC3_HUMAN_b03.a2m
GPC4_HUMAN	O75487	GPC4	GPC4_HUMAN_b01.a2m
GPD1L_HUMAN	Q8N335	GPD1L	GPD1L_HUMAN_b03.a2m
GPDA_HUMAN	P21695	GPD1	GPDA_HUMAN_b03.a2m
GPDM_HUMAN	P43304	GPD2	GPDM_HUMAN_b03.a2m
GPI8_HUMAN	Q92643	PIGK	GPI8_HUMAN_b01.a2m
GPIX_HUMAN	P14770	GP9	GPIX_HUMAN_b03.a2m
GPR39_HUMAN	O43194	GPR39	GPR39_HUMAN_b03.a2m
GPSM2_HUMAN	P81274	GPSM2	GPSM2_HUMAN_b03.a2m
GPT_HUMAN	Q9H3H5	DPAGT1	GPT_HUMAN_b03.a2m
GPVI_HUMAN	Q9HCN6	GP6	GPVI_HUMAN_b03.a2m
GRAP_HUMAN	Q13588	GRAP	GRAP_HUMAN_b03.a2m
GRB1L_HUMAN	Q9C091	GREB1L	GRB1L_HUMAN_b03.a2m
GRCR1_HUMAN	A8MXD5	GRXCR1	GRCR1_HUMAN_b01.a2m
GREM2_HUMAN	Q9H772	GREM2	GREM2_HUMAN_b03.a2m
GRHL2_HUMAN	Q6ISB3	GRHL2	GRHL2_HUMAN_b01.a2m
GRHL3_HUMAN	Q8TE85	GRHL3	GRHL3_HUMAN_b01.a2m
GRHPR_HUMAN	Q9UBQ7	GRHPR	GRHPR_HUMAN_b03.a2m
GRIA2_HUMAN	P42262	GRIA2	GRIA2_HUMAN_b03.a2m
GRIA3_HUMAN	P42263	GRIA3	GRIA3_HUMAN_b03.a2m
GRIA4_HUMAN	P48058	GRIA4	GRIA4_HUMAN_b03.a2m
GRID2_HUMAN	O43424	GRID2	GRID2_HUMAN_b07.a2m
GRIK2_HUMAN	Q13002	GRIK2	GRIK2_HUMAN_b05.a2m
GRIK4_HUMAN	Q16099	GRIK4	GRIK4_HUMAN_b05.a2m
GRIK5_HUMAN	Q16478	GRIK5	GRIK5_HUMAN_b05.a2m
GRIP1_HUMAN	Q9Y3R0	GRIP1	GRIP1_HUMAN_b03.a2m
GRM6_HUMAN	O15303	GRM6	GRM6_HUMAN_b03.a2m
GRM7_HUMAN	Q14831	GRM7	GRM7_HUMAN_b03.a2m
GRN_HUMAN	P28799	GRN	GRN_HUMAN_b07.a2m
GRP1_HUMAN	O95267	RASGRP1	GRP1_HUMAN_b01.a2m
GRP2_HUMAN	Q7LDG7	RASGRP2	GRP2_HUMAN_b03.a2m
GRP75_HUMAN	P38646	HSPA9	GRP75_HUMAN_b05.a2m
GSDME_HUMAN	O60443	GSDME	GSDME_HUMAN_b03.a2m
GSH1_HUMAN	P48506	GCLC	GSH1_HUMAN_b01.a2m
GSHB_HUMAN	P48637	GSS	GSHB_HUMAN_b01.a2m
GSHR_HUMAN	P00390	GSR	GSHR_HUMAN_b03.a2m
GT251_HUMAN	Q8NBJ5	COLGALT1	GT251_HUMAN_b01.a2m
GT2D1_HUMAN	Q9UHL9	GTF2IRD1	GT2D1_HUMAN_b03.a2m
GTPB3_HUMAN	Q969Y2	GTPBP3	GTPB3_HUMAN_b03.a2m
GTR1_HUMAN	P11166	SLC2A1	GTR1_HUMAN_b03.a2m
GTR2_HUMAN	P11168	SLC2A2	GTR2_HUMAN_b03.a2m
GTR9_HUMAN	Q9NRM0	SLC2A9	GTR9_HUMAN_b03.a2m
GUC1A_HUMAN	P43080	GUCA1A	GUC1A_HUMAN_b07.a2m
GUC2C_HUMAN	P25092	GUCY2C	GUC2C_HUMAN_b03.a2m
GUC2D_HUMAN	Q02846	GUCY2D	GUC2D_HUMAN_b10.a2m
GUF1_HUMAN	Q8N442	GUF1	GUF1_HUMAN_b03.a2m
GYS1_HUMAN	P13807	GYS1	GYS1_HUMAN_b01.a2m
GYS2_HUMAN	P54840	GYS2	GYS2_HUMAN_b01.a2m
H14_HUMAN	P10412	H1-4	H14_HUMAN_b03.a2m
H2A1_HUMAN	P0C0S8	H2AC11	H2A1_HUMAN_b03.a2m
H31_HUMAN	P68431	H3C1	H31_HUMAN_b03.a2m
H33_HUMAN	P84243	H3-3A	H33_HUMAN_b03.a2m
H6ST1_HUMAN	O60243	HS6ST1	H6ST1_HUMAN_b03.a2m
H6ST2_HUMAN	Q96MM7	HS6ST2	H6ST2_HUMAN_b01.a2m
HACD1_HUMAN	B0YJ81	HACD1	HACD1_HUMAN_b01.a2m
HACE1_HUMAN	Q8IYU2	HACE1	HACE1_HUMAN_b07.a2m
HARS1_HUMAN	P12081	HARS1	HARS1_HUMAN_b03.a2m
HAX1_HUMAN	O00165	HAX1	HAX1_HUMAN_b01.a2m
HBA_HUMAN	P69905	HBA1	HBA_HUMAN_b07.a2m
HBB_HUMAN	P68871	HBB	HBB_HUMAN_b10.a2m
HBD_HUMAN	P02042	HBD	HBD_HUMAN_b03.a2m
HBG2_HUMAN	P69892	HBG2	HBG2_HUMAN_b03.a2m
HCD2_HUMAN	Q99714	HSD17B10	HCD2_HUMAN_b07.a2m
HCDH_HUMAN	Q16836	HADH	HCDH_HUMAN_b03.a2m
HCFC1_HUMAN	P51610	HCFC1	HCFC1_HUMAN_b01.a2m
HCN1_HUMAN	O60741	HCN1	HCN1_HUMAN_b05.a2m
HCN4_HUMAN	Q9Y3Q4	HCN4	HCN4_HUMAN_b03.a2m
HDAC3_HUMAN	O15379	HDAC3	HDAC3_HUMAN_b03.a2m
HDAC4_HUMAN	P56524	HDAC4	HDAC4_HUMAN_b01.a2m
HDAC8_HUMAN	Q9BY41	HDAC8	HDAC8_HUMAN_b03.a2m
HDBP1_HUMAN	Q8IV16	GPIHBP1	HDBP1_HUMAN_b03.a2m
HD_HUMAN	P42858	HTT	HD_HUMAN_b01.a2m
HECAM_HUMAN	Q14CZ8	HEPACAM	HECAM_HUMAN_b03.a2m
HECW2_HUMAN	Q9P2P5	HECW2	HECW2_HUMAN_b01.a2m
HEM0_HUMAN	P22557	ALAS2	HEM0_HUMAN_b03.a2m
HEM2_HUMAN	P13716	ALAD	HEM2_HUMAN_b03.a2m
HEM3_HUMAN	P08397	HMBS	HEM3_HUMAN_b03.a2m
HEM4_HUMAN	P10746	UROS	HEM4_HUMAN_b03.a2m
HEM6_HUMAN	P36551	CPOX	HEM6_HUMAN_b01.a2m
HEMH_HUMAN	P22830	FECH	HEMH_HUMAN_b01.a2m
HEP2_HUMAN	P05546	SERPIND1	HEP2_HUMAN_b01.a2m
HEPC_HUMAN	P81172	HAMP	HEPC_HUMAN_b03.a2m
HERC2_HUMAN	O95714	HERC2	HERC2_HUMAN_b01.a2m
HES7_HUMAN	Q9BYE0	HES7	HES7_HUMAN_b03.a2m
HESX1_HUMAN	Q9UBX0	HESX1	HESX1_HUMAN_b03.a2m
HEXA_HUMAN	P06865	HEXA	HEXA_HUMAN_b03.a2m
HEXB_HUMAN	P07686	HEXB	HEXB_HUMAN_b01.a2m
HEXI1_HUMAN	O94992	HEXIM1	HEXI1_HUMAN_b01.a2m
HFE_HUMAN	Q30201	HFE	HFE_HUMAN_b03.a2m
HGD_HUMAN	Q93099	HGD	HGD_HUMAN_b03.a2m
HGF_HUMAN	P14210	HGF	HGF_HUMAN_b03.a2m
HGNAT_HUMAN	Q68CP4	HGSNAT	HGNAT_HUMAN_b01.a2m
HHAT_HUMAN	Q5VTY9	HHAT	HHAT_HUMAN_b03.a2m
HIBCH_HUMAN	Q6NVY1	HIBCH	HIBCH_HUMAN_b03.a2m
HIKES_HUMAN	Q53FT3	HIKESHI	HIKES_HUMAN_b03.a2m
HINT1_HUMAN	P49773	HINT1	HINT1_HUMAN_b03.a2m
HKDC1_HUMAN	Q2TB90	HKDC1	HKDC1_HUMAN_b03.a2m
HMCS2_HUMAN	P54868	HMGCS2	HMCS2_HUMAN_b03.a2m
HMGCL_HUMAN	P35914	HMGCL	HMGCL_HUMAN_b03.a2m
HMX1_HUMAN	Q9NP08	HMX1	HMX1_HUMAN_b03.a2m
HNF1A_HUMAN	P20823	HNF1A	HNF1A_HUMAN_b01.a2m
HNF1B_HUMAN	P35680	HNF1B	HNF1B_HUMAN_b01.a2m
HNF4A_HUMAN	P41235	HNF4A	HNF4A_HUMAN_b01.a2m
HNMT_HUMAN	P50135	HNMT	HNMT_HUMAN_b03.a2m
HNRH1_HUMAN	P31943	HNRNPH1	HNRH1_HUMAN_b03.a2m
HNRH2_HUMAN	P55795	HNRNPH2	HNRH2_HUMAN_b03.a2m
HNRPK_HUMAN	P61978	HNRNPK	HNRPK_HUMAN_b03.a2m
HNRPU_HUMAN	Q00839	HNRNPU	HNRPU_HUMAN_b01.a2m
HOGA1_HUMAN	Q86XE5	HOGA1	HOGA1_HUMAN_b01.a2m
HOIL1_HUMAN	Q9BYM8	RBCK1	HOIL1_HUMAN_b03.a2m
HPCA_HUMAN	P84074	HPCA	HPCA_HUMAN_b03.a2m
HPPD_HUMAN	P32754	HPD	HPPD_HUMAN_b01.a2m
HPRT_HUMAN	P00492	HPRT1	HPRT_HUMAN_b03.a2m
HPS1_HUMAN	Q92902	HPS1	HPS1_HUMAN_b01.a2m
HPS3_HUMAN	Q969F9	HPS3	HPS3_HUMAN_b01.a2m
HPS6_HUMAN	Q86YV9	HPS6	HPS6_HUMAN_b01.a2m
HRG_HUMAN	P04196	HRG	HRG_HUMAN_b01.a2m
HSF4_HUMAN	Q9ULV5	HSF4	HSF4_HUMAN_b01.a2m
HSPB1_HUMAN	P04792	HSPB1	HSPB1_HUMAN_b03.a2m
HSPB3_HUMAN	Q12988	HSPB3	HSPB3_HUMAN_b01.a2m
HSPB8_HUMAN	Q9UJY1	HSPB8	HSPB8_HUMAN_b03.a2m
HTF4_HUMAN	Q99081	TCF12	HTF4_HUMAN_b03.a2m
HTRA1_HUMAN	Q92743	HTRA1	HTRA1_HUMAN_b03.a2m
HTRA2_HUMAN	O43464	HTRA2	HTRA2_HUMAN_b03.a2m
HUTH_HUMAN	P42357	HAL	HUTH_HUMAN_b03.a2m
HUTU_HUMAN	Q96N76	UROC1	HUTU_HUMAN_b01.a2m
HUWE1_HUMAN	Q7Z6Z7	HUWE1	HUWE1_HUMAN_b01.a2m
HXA13_HUMAN	P31271	HOXA13	HXA13_HUMAN_b03.a2m
HXA2_HUMAN	O43364	HOXA2	HXA2_HUMAN_b03.a2m
HXB13_HUMAN	Q92826	HOXB13	HXB13_HUMAN_b03.a2m
HXB1_HUMAN	P14653	HOXB1	HXB1_HUMAN_b03.a2m
HXD13_HUMAN	P35453	HOXD13	HXD13_HUMAN_b03.a2m
HXK1_HUMAN	P19367	HK1	HXK1_HUMAN_b03.a2m
HXK4_HUMAN	P35557	GCK	HXK4_HUMAN_b03.a2m
HYCCI_HUMAN	Q9BYI3	HYCC1	HYCCI_HUMAN_b01.a2m
I10R1_HUMAN	Q13651	IL10RA	I10R1_HUMAN_b03.a2m
I10R2_HUMAN	Q08334	IL10RB	I10R2_HUMAN_b03.a2m
I11RA_HUMAN	Q14626	IL11RA	I11RA_HUMAN_b03.a2m
I12R1_HUMAN	P42701	IL12RB1	I12R1_HUMAN_b03.a2m
I17RA_HUMAN	Q96F46	IL17RA	I17RA_HUMAN_b01.a2m
I17RD_HUMAN	Q8NFM7	IL17RD	I17RD_HUMAN_b01.a2m
I2BPL_HUMAN	Q9H1B7	IRF2BPL	I2BPL_HUMAN_b03.a2m
I36RA_HUMAN	Q9UBH0	IL36RN	I36RA_HUMAN_b03.a2m
IBP4_HUMAN	P22692	IGFBP4	IBP4_HUMAN_b03.a2m
IC1_HUMAN	P05155	SERPING1	IC1_HUMAN_b01.a2m
ICOS_HUMAN	Q9Y6W8	ICOS	ICOS_HUMAN_b03.a2m
IDH3A_HUMAN	P50213	IDH3A	IDH3A_HUMAN_b01.a2m
IDH3B_HUMAN	O43837	IDH3B	IDH3B_HUMAN_b01.a2m
IDHC_HUMAN	O75874	IDH1	IDHC_HUMAN_b03.a2m
IDHP_HUMAN	P48735	IDH2	IDHP_HUMAN_b03.a2m
IDS_HUMAN	P22304	IDS	IDS_HUMAN_b07.a2m
IDUA_HUMAN	P35475	IDUA	IDUA_HUMAN_b10.a2m
IF122_HUMAN	Q9HBG6	IFT122	IF122_HUMAN_b03.a2m
IF140_HUMAN	Q96RY7	IFT140	IF140_HUMAN_b01.a2m
IF172_HUMAN	Q9UG01	IFT172	IF172_HUMAN_b01.a2m
IF1AX_HUMAN	P47813	EIF1AX	IF1AX_HUMAN_b03.a2m
IF2G_HUMAN	P41091	EIF2S3	IF2G_HUMAN_b03.a2m
IFIH1_HUMAN	Q9BYX4	IFIH1	IFIH1_HUMAN_b10.a2m
IFM5_HUMAN	A6NNB3	IFITM5	IFM5_HUMAN_b03.a2m
IFT27_HUMAN	Q9BW83	IFT27	IFT27_HUMAN_b03.a2m
IFT43_HUMAN	Q96FT9	IFT43	IFT43_HUMAN_b01.a2m
IFT52_HUMAN	Q9Y366	IFT52	IFT52_HUMAN_b01.a2m
IFT56_HUMAN	A0AVF1	IFT56	IFT56_HUMAN_b03.a2m
IFT80_HUMAN	Q9P2H3	IFT80	IFT80_HUMAN_b03.a2m
IFT81_HUMAN	Q8WYA0	IFT81	IFT81_HUMAN_b01.a2m
IF_HUMAN	P27352	CBLIF	IF_HUMAN_b03.a2m
IGF1R_HUMAN	P08069	IGF1R	IGF1R_HUMAN_b05.a2m
IGF1_HUMAN	P05019	IGF1	IGF1_HUMAN_b01.a2m
IGF2_HUMAN	P01344	IGF2	IGF2_HUMAN_b03.a2m
IGLL1_HUMAN	P15814	IGLL1	IGLL1_HUMAN_b03.a2m
IHH_HUMAN	Q14623	IHH	IHH_HUMAN_b01.a2m
IKZF1_HUMAN	Q13422	IKZF1	IKZF1_HUMAN_b03.a2m
IL10_HUMAN	P22301	IL10	IL10_HUMAN_b03.a2m
IL12B_HUMAN	P29460	IL12B	IL12B_HUMAN_b03.a2m
IL17F_HUMAN	Q96PD4	IL17F	IL17F_HUMAN_b03.a2m
IL1RA_HUMAN	P18510	IL1RN	IL1RA_HUMAN_b03.a2m
IL21R_HUMAN	Q9HBE5	IL21R	IL21R_HUMAN_b03.a2m
IL21_HUMAN	Q9HBE4	IL21	IL21_HUMAN_b01.a2m
IL2RA_HUMAN	P01589	IL2RA	IL2RA_HUMAN_b03.a2m
IL2RG_HUMAN	P31785	IL2RG	IL2RG_HUMAN_b03.a2m
IL31R_HUMAN	Q8NI17	IL31RA	IL31R_HUMAN_b03.a2m
IL3RB_HUMAN	P32927	CSF2RB	IL3RB_HUMAN_b01.a2m
IL4RA_HUMAN	P24394	IL4R	IL4RA_HUMAN_b01.a2m
IL7RA_HUMAN	P16871	IL7R	IL7RA_HUMAN_b03.a2m
IMA8_HUMAN	A9QM74	KPNA7	IMA8_HUMAN_b03.a2m
IMDH1_HUMAN	P20839	IMPDH1	IMDH1_HUMAN_b03.a2m
IMPG2_HUMAN	Q9BZV3	IMPG2	IMPG2_HUMAN_b05.a2m
INAVA_HUMAN	Q3KP66	INAVA	INAVA_HUMAN_b03.a2m
