entry_name	accession	gene_symbol	msa_file
B4GN1_HUMAN	Q00973	B4GALNT1	B4GN1_HUMAN_b03.a2m
B4GT1_HUMAN	P15291	B4GALT1	B4GT1_HUMAN_b03.a2m
B4GT7_HUMAN	Q9UBV7	B4GALT7	B4GT7_HUMAN_b03.a2m
B9D1_HUMAN	Q9UPM9	B9D1	B9D1_HUMAN_b01.a2m
B9D2_HUMAN	Q9BPU9	B9D2	B9D2_HUMAN_b03.a2m
BAAT_HUMAN	Q14032	BAAT	BAAT_HUMAN_b03.a2m
BACH2_HUMAN	Q9BYV9	BACH2	BACH2_HUMAN_b03.a2m
BAF_HUMAN	O75531	BANF1	BAF_HUMAN_b03.a2m
BAG3_HUMAN	O95817	BAG3	BAG3_HUMAN_b01.a2m
BAP1_HUMAN	Q92560	BAP1	BAP1_HUMAN_b01.a2m
BAT1_HUMAN	P82251	SLC7A9	BAT1_HUMAN_b07.a2m
BAX_HUMAN	Q07812	BAX	BAX_HUMAN_b03.a2m
BBS10_HUMAN	Q8TAM1	BBS10	BBS10_HUMAN_b03.a2m
BBS12_HUMAN	Q6ZW61	BBS12	BBS12_HUMAN_b01.a2m
BBS1_HUMAN	Q8NFJ9	BBS1	BBS1_HUMAN_b01.a2m
BBS2_HUMAN	Q9BXC9	BBS2	BBS2_HUMAN_b01.a2m
BBS4_HUMAN	Q96RK4	BBS4	BBS4_HUMAN_b03.a2m
BBS5_HUMAN	Q8N3I7	BBS5	BBS5_HUMAN_b01.a2m
BBS7_HUMAN	Q8IWZ6	BBS7	BBS7_HUMAN_b01.a2m
BC11A_HUMAN	Q9H165	BCL11A	BC11A_HUMAN_b03.a2m
BCAT2_HUMAN	O15382	BCAT2	BCAT2_HUMAN_b03.a2m
BCDO1_HUMAN	Q9HAY6	BCO1	BCDO1_HUMAN_b01.a2m
BCKD_HUMAN	O14874	BCKDK	BCKD_HUMAN_b03.a2m
BCL10_HUMAN	O95999	BCL10	BCL10_HUMAN_b03.a2m
BCOR_HUMAN	Q6W2J9	BCOR	BCOR_HUMAN_b03.a2m
BCS1_HUMAN	Q9Y276	BCS1L	BCS1_HUMAN_b03.a2m
BEST1_HUMAN	O76090	BEST1	BEST1_HUMAN_b05.a2m
BFSP1_HUMAN	Q12934	BFSP1	BFSP1_HUMAN_b03.a2m
BFSP2_HUMAN	Q13515	BFSP2	BFSP2_HUMAN_b03.a2m
BGAL_HUMAN	P16278	GLB1	BGAL_HUMAN_b01.a2m
BGH3_HUMAN	Q15582	TGFBI	BGH3_HUMAN_b01.a2m
BGLR_HUMAN	P08236	GUSB	BGLR_HUMAN_b07.a2m
BHA09_HUMAN	Q7RTU4	BHLHA9	BHA09_HUMAN_b01.a2m
BICD2_HUMAN	Q8TD16	BICD2	BICD2_HUMAN_b07.a2m
BIN1_HUMAN	O00499	BIN1	BIN1_HUMAN_b05.a2m
BL1S3_HUMAN	Q6QNY0	BLOC1S3	BL1S3_HUMAN_b03.a2m
BL1S6_HUMAN	Q9UL45	BLOC1S6	BL1S6_HUMAN_b03.a2m
BLM_HUMAN	P54132	BLM	BLM_HUMAN_b07.a2m
BLNK_HUMAN	Q8WV28	BLNK	BLNK_HUMAN_b03.a2m
BMP15_HUMAN	O95972	BMP15	BMP15_HUMAN_b03.a2m
BMP1_HUMAN	P13497	BMP1	BMP1_HUMAN_b03.a2m
BMP4_HUMAN	P12644	BMP4	BMP4_HUMAN_b01.a2m
BMPER_HUMAN	Q8N8U9	BMPER	BMPER_HUMAN_b03.a2m
BMPR2_HUMAN	Q13873	BMPR2	BMPR2_HUMAN_b03.a2m
BMR1A_HUMAN	P36894	BMPR1A	BMR1A_HUMAN_b10.a2m
BOLA3_HUMAN	Q53S33	BOLA3	BOLA3_HUMAN_b03.a2m
BPL1_HUMAN	P50747	HLCS	BPL1_HUMAN_b07.a2m
BRAF_HUMAN	P15056	BRAF	BRAF_HUMAN_b05.a2m
BRAT1_HUMAN	Q6PJG6	BRAT1	BRAT1_HUMAN_b01.a2m
BRCA1_BRCT_HUMAN_1620_1856	NA	NA	BRCA1_BRCT_HUMAN_1620_1856_b05.a2m
BRCA1_HUMAN	P38398	BRCA1	BRCA1_HUMAN_b005.a2m
BRCA1_RING_HUMAN_1_110	NA	NA	BRCA1_RING_HUMAN_1_110_b05.a2m
BRCA2_HUMAN	P51587	BRCA2	BRCA2_HUMAN_b03.a2m
BRD4_HUMAN	O60885	BRD4	BRD4_HUMAN_b10.a2m
BRPF1_HUMAN	P55201	BRPF1	BRPF1_HUMAN_b03.a2m
BRWD3_HUMAN	Q6RI45	BRWD3	BRWD3_HUMAN_b03.a2m
BSCL2_HUMAN	Q96G97	BSCL2	BSCL2_HUMAN_b05.a2m
BSND_HUMAN	Q8WZ55	BSND	BSND_HUMAN_b03.a2m
BTD_HUMAN	P43251	BTD	BTD_HUMAN_b01.a2m
BTK_HUMAN	Q06187	BTK	BTK_HUMAN_b05.a2m
BUP1_HUMAN	Q9UBR1	UPB1	BUP1_HUMAN_b03.a2m
C10_HUMAN	Q99622	C12orf57	C10_HUMAN_b03.a2m
C19L1_HUMAN	Q69YN2	CWF19L1	C19L1_HUMAN_b01.a2m
C1GLC_HUMAN	Q96EU7	C1GALT1C1	C1GLC_HUMAN_b03.a2m
C1QA_HUMAN	P02745	C1QA	C1QA_HUMAN_b03.a2m
C1QBP_HUMAN	Q07021	C1QBP	C1QBP_HUMAN_b01.a2m
C1QB_HUMAN	P02746	C1QB	C1QB_HUMAN_b03.a2m
C1QC_HUMAN	P02747	C1QC	C1QC_HUMAN_b03.a2m
C1QT5_HUMAN	Q9BXJ0	C1QTNF5	C1QT5_HUMAN_b03.a2m
C1R_HUMAN	P00736	C1R	C1R_HUMAN_b03.a2m
C1S_HUMAN	P09871	C1S	C1S_HUMAN_b03.a2m
C1TC_HUMAN	P11586	MTHFD1	C1TC_HUMAN_b01.a2m
C2CD3_HUMAN	Q4AC94	C2CD3	C2CD3_HUMAN_b01.a2m
